教科名,学年,科目,区分,単位数
英語(Ｇ)A,1,一般,必修,1
英語(Ｇ)B,1,一般,必修,1
英語(ＬＳ)IA,1,一般,必修,1
英語(ＬＳ)IB,1,一般,必修,1
英語(ＲＷ)IA,1,一般,必修,1
英語(ＲＷ)IB,1,一般,必修,1
芸術,1,一般,必修,1
国語IA,1,一般,必修,1
国語IB,1,一般,必修,1
地理A,1,一般,必修,1
地理B,1,一般,必修,1
保健体育IA,1,一般,必修,1
保健体育IB,1,一般,必修,1
基礎化学IA,1,一般,必修,1
基礎化学IB,1,一般,必修,1
基礎科学,1,一般,必修,1
基礎数学I,1,一般,必修,3
基礎数学II,1,一般,必修,2
基礎数学III,1,一般,必修,1
物理学I,1,一般,必修,1
電子制御入門I,1,専門,必修,1
電子制御入門II,1,専門,必修,1
計算機演習,1,専門,必修,1
電子計算機I,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門II,1,専門,必修,1
情報セキュリティ演習,1,専門,選択,1
国語IIA,2,一般,必修,1
国語IIB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語IIIA,2,一般,必修,1
英語IIIB,2,一般,必修,1
英語IVA,2,一般,必修,1
英語IVB,2,一般,必修,1
保健体育IIA,2,一般,必修,1
保健体育IIB,2,一般,必修,1
線形代数IA,2,一般,必修,1
線形代数IB,2,一般,必修,1
微分積分IA,2,一般,必修,2
微分積分IB,2,一般,必修,2
物理学IIA,2,一般,必修,1
物理学IIB,2,一般,必修,1
化学IA,2,一般,必修,1
化学IB,2,一般,必修,1
日本文化論,2,一般,選択,1
プログラミング技法I,2,専門,必修,1
プログラミング技法II,2,専門,必修,1
製図I,2,専門,必修,1
製図II,2,専門,必修,1
電磁気学I,2,専門,必修,1
電気回路I,2,専門,必修,1
電子計算機II,2,専門,必修,1
電子計算機III,2,専門,必修,1
実験実習I,2,専門,必修,1
実験実習II,2,専門,必修,1
日本事情IIA,3,一般,必修（留学生）,1
日本事情IIB,3,一般,必修（留学生）,1
日本事情III,3,一般,必修（留学生）,1
国語III,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語VA,3,一般,必修,1
英語VB,3,一般,必修,1
ドイツ語IA,3,一般,必修,1
ドイツ語IB,3,一般,必修,1
体育IA,3,一般,必修,1
体育IB,3,一般,必修,1
線形代数II,3,一般,必修,1
微分積分II,3,一般,必修,2
微分積分III,3,一般,必修,2
ライフサイエンス・アースサイエンス,3,一般,必修,1
物理学III,3,一般,必修,1
物理学IV,3,一般,必修,1
化学II,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本文化論,3,一般,選択,1
日本語IA,3,一般,必修（留学生）,1
日本事情IA,3,一般,必修（留学生）,1
日本事情IB,3,一般,必修（留学生）,1
日本語IB,3,一般,必修（留学生）,1
工業力学,3,専門,必修,1
機械力学,3,専門,必修,1
電磁気学II,3,専門,必修,1
電磁気学III,3,専門,必修,1
電気回路II,3,専門,必修,1
電気回路III,3,専門,必修,1
電子工学I,3,専門,必修,1
電子工学II,3,専門,必修,1
計測工学I,3,専門,必修,1
計測工学II,3,専門,必修,1
実験実習III,3,専門,必修,2
実験実習IV,3,専門,必修,2
プロジェクト実習,3,専門,必修選択,1
国語表現,4,一般,必修,1
体育II,4,一般,必修,1
英語演習IA,4,一般,必修選択,1
英会話IA,4,一般,必修選択,1
英語演習IB,4,一般,必修選択,1
英会話IB,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
ドイツ語IIA,4,一般,選択,1
中国語IA,4,一般,選択,1
ドイツ語IIB,4,一般,選択,1
中国語IB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語IIA,4,一般,必修（留学生）,1
日本語IIB,4,一般,必修（留学生）,1
応用物理実験,4,専門,必修,1
材料力学I,4,専門,必修,2
材料力学II,4,専門,必修,2
機械設計工学I,4,専門,必修,2
電子回路I,4,専門,必修,2
電子回路II,4,専門,必修,2
情報処理I,4,専門,必修,2
情報処理II,4,専門,必修,2
制御工学I,4,専門,必修,2
制御工学II,4,専門,必修,2
工業英語演習,4,専門,必修,1
実験実習V,4,専門,必修,2
課題研究,4,専門,必修,2
応用数学A,4,専門,必修選択,2
応用数学B,4,専門,必修選択,2
応用数学C,4,専門,必修選択,2
電磁気学IV,4,専門,選択,1
電気回路IV,4,専門,選択,1
電子工学III,4,専門,選択,1
電子工学IV,4,専門,選択,1
学外実習,4,専門,選択,2
体育III,5,一般,必修,1
英語演習II,5,一般,必修選択,1
英会話II,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語IIIA,5,一般,選択,1
中国語IIA,5,一般,選択,1
ドイツ語IIIB,5,一般,選択,1
中国語IIB,5,一般,選択,1
日本文化論,5,一般,選択,1
日本語IIIA,5,一般,必修（留学生）,1
日本語IIIB,5,一般,必修（留学生）,1
統計学,5,専門,必修,2
材料力学III,5,専門,必修,2
機械設計工学II,5,専門,必修,2
電子回路III,5,専門,必修,2
制御工学III,5,専門,必修,2
制御工学IV,5,専門,必修,2
制御機器,5,専門,必修,2
情報工学,5,専門,必修,2
卒業研究,5,専門,必修,8
応用物理,5,専門,選択,1
流体力学,5,専門,選択,1
熱力学,5,専門,選択,1
計算機制御工学,5,専門,選択,1
ロボット工学I,5,専門,選択,1
ロボット工学II,5,専門,選択,1
システム工学,5,専門,選択,1
電子回路IV,5,専門,選択,1
