教科名,学年,科目,区分,単位数
英語(Ｇ)A,1,一般,必修,1
英語(Ｇ)B,1,一般,必修,1
英語(ＬＳ)IA,1,一般,必修,1
英語(ＬＳ)IB,1,一般,必修,1
英語(ＲＷ)IA,1,一般,必修,1
英語(ＲＷ)IB,1,一般,必修,1
芸術,1,一般,必修,1
国語IA,1,一般,必修,1
国語IB,1,一般,必修,1
地理A,1,一般,必修,1
地理B,1,一般,必修,1
保健体育IA,1,一般,必修,1
保健体育IB,1,一般,必修,1
基礎化学IA,1,一般,必修,1
基礎化学IB,1,一般,必修,1
基礎科学,1,一般,必修,1
基礎数学I,1,一般,必修,3
基礎数学II,1,一般,必修,2
基礎数学III,1,一般,必修,1
物理学I,1,一般,必修,1
コンピュータ入門I,1,専門,必修,1
コンピュータ入門II,1,専門,必修,1
コンピュータ演習I,1,専門,必修,1
コンピュータ演習II,1,専門,必修,1
技術者入門I,1,専門,必修,1
技術者入門II,1,専門,必修,1
実験・実習IA,1,専門,必修,1
実験・実習IB,1,専門,必修,1
情報セキュリティ演習,1,専門,選択,1
国語IIA,2,一般,必修,1
国語IIB,2,一般,必修,1
歴史A,2,一般,必修,1
歴史B,2,一般,必修,2
英語IIIA,2,一般,必修,1
英語IIIB,2,一般,必修,1
英語IVA,2,一般,必修,1
英語IVB,2,一般,必修,1
保健体育IIA,2,一般,必修,1
保健体育IIB,2,一般,必修,1
線形代数IA,2,一般,必修,1
線形代数IB,2,一般,必修,1
微分積分IA,2,一般,必修,2
微分積分IB,2,一般,必修,2
物理学IIA,2,一般,必修,1
物理学IIB,2,一般,必修,1
化学IA,2,一般,必修,1
化学IB,2,一般,必修,1
日本文化論,2,一般,選択,1
プログラミング基礎I,2,専門,必修,1
プログラミング基礎II,2,専門,必修,1
プログラミング演習IA,2,専門,必修,1
プログラミング演習IB,2,専門,必修,1
電気回路I,2,専門,必修,1
電気回路II,2,専門,必修,1
論理回路I,2,専門,必修,1
論理回路II,2,専門,必修,1
実験・実習IIA,2,専門,必修,1
実験・実習IIB,2,専門,必修,1
国語III,3,一般,必修,1
現代社会A,3,一般,必修,1
現代社会B,3,一般,必修,2
英語VA,3,一般,必修,1
英語VB,3,一般,必修,1
ドイツ語IA,3,一般,必修,1
ドイツ語IB,3,一般,必修,1
体育IA,3,一般,必修,1
体育IB,3,一般,必修,1
線形代数II,3,一般,必修,1
微分積分II,3,一般,必修,2
微分積分III,3,一般,必修,2
ライフサイエンス・アースサイエンス,3,一般,必修,1
物理学III,3,一般,必修,1
物理学IV,3,一般,必修,1
化学II,3,一般,必修,1
一般特別セミナー,3,一般,必修選択,1
日本文化論,3,一般,選択,1
日本語IA,3,一般,必修（留学生）,1
日本事情IA,3,一般,必修（留学生）,1
日本事情IB,3,一般,必修（留学生）,1
日本語IB,3,一般,必修（留学生）,1
日本事情IIA,3,一般,必修（留学生）,1
日本事情IIB,3,一般,必修（留学生）,1
日本事情III,3,一般,必修（留学生）,1
ネットワーク演習,3,専門,必修,1
データ構造とアルゴリズムI,3,専門,必修,1
データ構造とアルゴリズムII,3,専門,必修,1
プログラミング演習IIA,3,専門,必修,1
プログラミング演習IIB,3,専門,必修,1
情報数学I,3,専門,必修,1
情報数学II,3,専門,必修,1
ネットワーク入門I,3,専門,必修,1
ネットワーク入門II,3,専門,必修,1
コンピュータアーキテクチャI,3,専門,必修,1
コンピュータアーキテクチャII,3,専門,必修,1
実験・実習IIIA,3,専門,必修,1
実験・実習IIIB,3,専門,必修,1
プロジェクト実習,3,専門,必修選択,1
国語表現,4,一般,必修,1
体育II,4,一般,必修,1
英語演習IA,4,一般,必修選択,1
英会話IA,4,一般,必修選択,1
英語演習IB,4,一般,必修選択,1
英会話IB,4,一般,必修選択,1
哲学A,4,一般,必修選択,2
経済学A,4,一般,必修選択,2
社会学A,4,一般,必修選択,2
哲学B,4,一般,必修選択,2
経済学B,4,一般,必修選択,2
社会学B,4,一般,必修選択,2
ドイツ語IIA,4,一般,選択,1
中国語IA,4,一般,選択,1
ドイツ語IIB,4,一般,選択,1
中国語IB,4,一般,選択,1
日本文化論,4,一般,選択,1
日本語IIA,4,一般,必修（留学生）,1
日本語IIB,4,一般,必修（留学生）,1
コンピュータアーキテクチャIII,4,専門,必修,1
インターフェース回路,4,専門,必修,1
プログラミング言語I,4,専門,必修,2
プログラミング言語II,4,専門,必修,2
言語処理系I,4,専門,必修,2
言語処理系II,4,専門,必修,2
オペレーティングシステムI,4,専門,必修,2
オペレーティングシステムII,4,専門,必修,2
計算機インターフェースI,4,専門,必修,2
計算機インターフェースII,4,専門,必修,2
情報セキュリティI,4,専門,必修,2
情報セキュリティII,4,専門,必修,2
プレゼンテーション技法,4,専門,必修,1
プログラミング演習IIIA,4,専門,必修,1
プログラミング演習IIIB,4,専門,必修,1
実験・実習IV,4,専門,必修,1
工業英語,4,専門,必修,1
課題研究,4,専門,必修,2
応用数学A,4,専門,必修選択,2
応用数学B,4,専門,必修選択,2
統計学,4,専門,必修選択,2
学外実習,4,専門,選択,2
体育III,5,一般,必修,1
英語演習II,5,一般,必修選択,1
英会話II,5,一般,必修選択,1
国文学,5,一般,選択,1
心理学,5,一般,選択,1
法学,5,一般,選択,1
ドイツ語IIIA,5,一般,選択,1
中国語IIA,5,一般,選択,1
ドイツ語IIIB,5,一般,選択,1
中国語IIB,5,一般,選択,1
日本文化論,5,一般,選択,1
日本語IIIA,5,一般,必修（留学生）,1
日本語IIIB,5,一般,必修（留学生）,1
数値計算,5,専門,必修,2
ソフトウェア設計I,5,専門,必修,2
ソフトウェア設計II,5,専門,必修,2
情報理論I,5,専門,必修,1
情報理論II,5,専門,必修,1
ネットワークシステムI,5,専門,必修,2
ネットワークシステムII,5,専門,必修,2
卒業研究,5,専門,必修,8
画像情報システム,5,専門,選択,1
知能システム,5,専門,選択,1
制御情報システム,5,専門,選択,1
分散情報システム,5,専門,選択,1
信号処理工学,5,専門,選択,1
認知科学,5,専門,選択,1
データマイニング,5,専門,選択,1
バイオインフォマティクス,5,専門,選択,1
メディアデザイン,5,専門,選択,1
計測システム,5,専門,選択,1
